Time,Day,Activity,Daytype,week_start_date
10:30 PM,Saturday,Not Work,weekend,2022-01-31
11:00 PM,Saturday,Not Work,weekend,2022-01-31
6:00 AM,Sunday,Not Work,weekend,2022-01-31
6:30 AM,Sunday,Not Work,weekend,2022-01-31
7:00 AM,Sunday,Not Work,weekend,2022-01-31
7:30 AM,Sunday,Not Work,weekend,2022-01-31
8:00 AM,Sunday,Not Work,weekend,2022-01-31
8:30 AM,Sunday,Not Work,weekend,2022-01-31
9:00 AM,Sunday,Not Work,weekend,2022-01-31
9:30 AM,Sunday,Not Work,weekend,2022-01-31
10:00 AM,Sunday,Not Work,weekend,2022-01-31
10:30 AM,Sunday,Not Work,weekend,2022-01-31
11:00 AM,Sunday,Not Work,weekend,2022-01-31
11:30 AM,Sunday,Not Work,weekend,2022-01-31
12:00 PM,Sunday,Not Work,weekend,2022-01-31
12:30 PM,Sunday,Not Work,weekend,2022-01-31
1:00 PM,Sunday,Not Work,weekend,2022-01-31
1:30 PM,Sunday,Not Work,weekend,2022-01-31
2:00 PM,Sunday,Not Work,weekend,2022-01-31
2:30 PM,Sunday,Not Work,weekend,2022-01-31
3:00 PM,Sunday,Not Work,weekend,2022-01-31
3:30 PM,Sunday,Not Work,weekend,2022-01-31
4:00 PM,Sunday,Not Work,weekend,2022-01-31
4:30 PM,Sunday,Not Work,weekend,2022-01-31
5:00 PM,Sunday,Not Work,weekend,2022-01-31
5:30 PM,Sunday,Not Work,weekend,2022-01-31
6:00 PM,Sunday,Not Work,weekend,2022-01-31
6:30 PM,Sunday,Not Work,weekend,2022-01-31
7:00 PM,Sunday,Not Work,weekend,2022-01-31
7:30 PM,Sunday,Not Work,weekend,2022-01-31
8:00 PM,Sunday,Not Work,weekend,2022-01-31
8:30 PM,Sunday,Not Work,weekend,2022-01-31
9:00 PM,Sunday,Not Work,weekend,2022-01-31
9:30 PM,Sunday,Not Work,weekend,2022-01-31
10:00 PM,Sunday,Not Work,weekend,2022-01-31
10:30 PM,Sunday,Not Work,weekend,2022-01-31
11:00 PM,Sunday,Not Work,weekend,2022-01-31
6:00 AM,Monday,Not Work,day off,2022-02-07
6:30 AM,Monday,Not Work,day off,2022-02-07
7:00 AM,Monday,Not Work,day off,2022-02-07
7:30 AM,Monday,Not Work,day off,2022-02-07
8:00 AM,Monday,Not Work,day off,2022-02-07
8:30 AM,Monday,Not Work,day off,2022-02-07
9:00 AM,Monday,Not Work,day off,2022-02-07
9:30 AM,Monday,Not Work,day off,2022-02-07
10:00 AM,Monday,Not Work,day off,2022-02-07
10:30 AM,Monday,Not Work,day off,2022-02-07
11:00 AM,Monday,Not Work,day off,2022-02-07
11:30 AM,Monday,Not Work,day off,2022-02-07
12:00 PM,Monday,Not Work,day off,2022-02-07
12:30 PM,Monday,Not Work,day off,2022-02-07
1:00 PM,Monday,Not Work,day off,2022-02-07
1:30 PM,Monday,logistics,day off,2022-02-07
2:00 PM,Monday,logistics,day off,2022-02-07
2:30 PM,Monday,logistics,day off,2022-02-07
3:00 PM,Monday,Not Work,day off,2022-02-07
3:30 PM,Monday,Not Work,day off,2022-02-07
4:00 PM,Monday,Not Work,day off,2022-02-07
4:30 PM,Monday,Not Work,day off,2022-02-07
5:00 PM,Monday,Not Work,day off,2022-02-07
5:30 PM,Monday,Not Work,day off,2022-02-07
6:00 PM,Monday,Not Work,day off,2022-02-07
6:30 PM,Monday,Not Work,day off,2022-02-07
7:00 PM,Monday,Not Work,day off,2022-02-07
7:30 PM,Monday,Not Work,day off,2022-02-07
8:00 PM,Monday,Not Work,day off,2022-02-07
8:30 PM,Monday,Not Work,day off,2022-02-07
9:00 PM,Monday,Not Work,day off,2022-02-07
9:30 PM,Monday,Not Work,day off,2022-02-07
10:00 PM,Monday,Not Work,day off,2022-02-07
10:30 PM,Monday,Not Work,day off,2022-02-07
11:00 PM,Monday,Not Work,day off,2022-02-07
6:00 AM,Tuesday,Not Work,work,2022-02-07
6:30 AM,Tuesday,Not Work,work,2022-02-07
7:00 AM,Tuesday,Not Work,work,2022-02-07
7:30 AM,Tuesday,Not Work,work,2022-02-07
8:00 AM,Tuesday,Not Work,work,2022-02-07
8:30 AM,Tuesday,research,work,2022-02-07
9:00 AM,Tuesday,research,work,2022-02-07
9:30 AM,Tuesday,mentees,work,2022-02-07
10:00 AM,Tuesday,talking,work,2022-02-07
10:30 AM,Tuesday,talking,work,2022-02-07
11:00 AM,Tuesday,mentees,work,2022-02-07
11:30 AM,Tuesday,mentees,work,2022-02-07
12:00 PM,Tuesday,mentees,work,2022-02-07
12:30 PM,Tuesday,mentees,work,2022-02-07
1:00 PM,Tuesday,mentees,work,2022-02-07
1:30 PM,Tuesday,logistics,work,2022-02-07
2:00 PM,Tuesday,talking,work,2022-02-07
2:30 PM,Tuesday,mentees,work,2022-02-07
3:00 PM,Tuesday,mentees,work,2022-02-07
3:30 PM,Tuesday,talking,work,2022-02-07
4:00 PM,Tuesday,talking,work,2022-02-07
4:30 PM,Tuesday,talking,work,2022-02-07
5:00 PM,Tuesday,Not Work,work,2022-02-07
5:30 PM,Tuesday,Not Work,work,2022-02-07
6:00 PM,Tuesday,Not Work,work,2022-02-07
6:30 PM,Tuesday,Not Work,work,2022-02-07
7:00 PM,Tuesday,Not Work,work,2022-02-07
7:30 PM,Tuesday,Not Work,work,2022-02-07
8:00 PM,Tuesday,Not Work,work,2022-02-07
8:30 PM,Tuesday,Not Work,work,2022-02-07
9:00 PM,Tuesday,Not Work,work,2022-02-07
9:30 PM,Tuesday,Not Work,work,2022-02-07
10:00 PM,Tuesday,Not Work,work,2022-02-07
10:30 PM,Tuesday,Not Work,work,2022-02-07
11:00 PM,Tuesday,Not Work,work,2022-02-07
6:00 AM,Wednesday,Not Work,work,2022-02-07
6:30 AM,Wednesday,Not Work,work,2022-02-07
7:00 AM,Wednesday,Not Work,work,2022-02-07
7:30 AM,Wednesday,Not Work,work,2022-02-07
8:00 AM,Wednesday,research,work,2022-02-07
8:30 AM,Wednesday,research,work,2022-02-07
9:00 AM,Wednesday,research,work,2022-02-07
9:30 AM,Wednesday,research,work,2022-02-07
10:00 AM,Wednesday,research,work,2022-02-07
10:30 AM,Wednesday,logistics,work,2022-02-07
11:00 AM,Wednesday,talking,work,2022-02-07
11:30 AM,Wednesday,logistics,work,2022-02-07
12:00 PM,Wednesday,Not Work,work,2022-02-07
12:30 PM,Wednesday,Not Work,work,2022-02-07
1:00 PM,Wednesday,Not Work,work,2022-02-07
1:30 PM,Wednesday,Not Work,work,2022-02-07
2:00 PM,Wednesday,research,work,2022-02-07
2:30 PM,Wednesday,research,work,2022-02-07
3:00 PM,Wednesday,Not Work,work,2022-02-07
3:30 PM,Wednesday,Not Work,work,2022-02-07
4:00 PM,Wednesday,Not Work,work,2022-02-07
4:30 PM,Wednesday,Not Work,work,2022-02-07
5:00 PM,Wednesday,Not Work,work,2022-02-07
5:30 PM,Wednesday,Not Work,work,2022-02-07
6:00 PM,Wednesday,Not Work,work,2022-02-07
6:30 PM,Wednesday,Not Work,work,2022-02-07
7:00 PM,Wednesday,Not Work,work,2022-02-07
7:30 PM,Wednesday,logistics,work,2022-02-07
8:00 PM,Wednesday,logistics,work,2022-02-07
8:30 PM,Wednesday,logistics,work,2022-02-07
9:00 PM,Wednesday,logistics,work,2022-02-07
9:30 PM,Wednesday,Not Work,work,2022-02-07
10:00 PM,Wednesday,Not Work,work,2022-02-07
10:30 PM,Wednesday,Not Work,work,2022-02-07
11:00 PM,Wednesday,Not Work,work,2022-02-07
6:00 AM,Thursday,Not Work,work,2022-02-07
6:30 AM,Thursday,Not Work,work,2022-02-07
7:00 AM,Thursday,Not Work,work,2022-02-07
7:30 AM,Thursday,Not Work,work,2022-02-07
8:00 AM,Thursday,Not Work,work,2022-02-07
8:30 AM,Thursday,research,work,2022-02-07
9:00 AM,Thursday,logistics,work,2022-02-07
9:30 AM,Thursday,mentees,work,2022-02-07
10:00 AM,Thursday,mentees,work,2022-02-07
10:30 AM,Thursday,talking,work,2022-02-07
11:00 AM,Thursday,talking,work,2022-02-07
11:30 AM,Thursday,logistics,work,2022-02-07
12:00 PM,Thursday,talking,work,2022-02-07
12:30 PM,Thursday,talking,work,2022-02-07
1:00 PM,Thursday,talking,work,2022-02-07
1:30 PM,Thursday,talking,work,2022-02-07
2:00 PM,Thursday,talking,work,2022-02-07
2:30 PM,Thursday,talking,work,2022-02-07
3:00 PM,Thursday,talking,work,2022-02-07
3:30 PM,Thursday,Not Work,work,2022-02-07
4:00 PM,Thursday,talking,work,2022-02-07
4:30 PM,Thursday,talking,work,2022-02-07
5:00 PM,Thursday,talking,work,2022-02-07
5:30 PM,Thursday,Not Work,work,2022-02-07
6:00 PM,Thursday,Not Work,work,2022-02-07
6:30 PM,Thursday,Not Work,work,2022-02-07
7:00 PM,Thursday,Not Work,work,2022-02-07
7:30 PM,Thursday,Not Work,work,2022-02-07
8:00 PM,Thursday,Not Work,work,2022-02-07
8:30 PM,Thursday,Not Work,work,2022-02-07
9:00 PM,Thursday,Not Work,work,2022-02-07
9:30 PM,Thursday,Not Work,work,2022-02-07
10:00 PM,Thursday,Not Work,work,2022-02-07
10:30 PM,Thursday,Not Work,work,2022-02-07
11:00 PM,Thursday,Not Work,work,2022-02-07
6:00 AM,Friday,Not Work,work,2022-02-07
6:30 AM,Friday,Not Work,work,2022-02-07
7:00 AM,Friday,Not Work,work,2022-02-07
7:30 AM,Friday,Not Work,work,2022-02-07
8:00 AM,Friday,Not Work,work,2022-02-07
8:30 AM,Friday,logistics,work,2022-02-07
9:00 AM,Friday,talking,work,2022-02-07
9:30 AM,Friday,talking,work,2022-02-07
10:00 AM,Friday,logistics,work,2022-02-07
10:30 AM,Friday,logistics,work,2022-02-07
11:00 AM,Friday,mentees,work,2022-02-07
11:30 AM,Friday,service,work,2022-02-07
12:00 PM,Friday,logistics,work,2022-02-07
12:30 PM,Friday,Not Work,work,2022-02-07
1:00 PM,Friday,talking,work,2022-02-07
1:30 PM,Friday,talking,work,2022-02-07
2:00 PM,Friday,talking,work,2022-02-07
2:30 PM,Friday,service,work,2022-02-07
3:00 PM,Friday,service,work,2022-02-07
3:30 PM,Friday,logistics,work,2022-02-07
4:00 PM,Friday,Not Work,work,2022-02-07
4:30 PM,Friday,Not Work,work,2022-02-07
5:00 PM,Friday,Not Work,work,2022-02-07
5:30 PM,Friday,Not Work,work,2022-02-07
6:00 PM,Friday,Not Work,work,2022-02-07
6:30 PM,Friday,Not Work,work,2022-02-07
7:00 PM,Friday,Not Work,work,2022-02-07
7:30 PM,Friday,Not Work,work,2022-02-07
8:00 PM,Friday,Not Work,work,2022-02-07
8:30 PM,Friday,Not Work,work,2022-02-07
9:00 PM,Friday,Not Work,work,2022-02-07
9:30 PM,Friday,Not Work,work,2022-02-07
10:00 PM,Friday,Not Work,work,2022-02-07
10:30 PM,Friday,Not Work,work,2022-02-07
11:00 PM,Friday,Not Work,work,2022-02-07
6:00 AM,Saturday,Not Work,weekend,2022-02-07
6:30 AM,Saturday,Not Work,weekend,2022-02-07
7:00 AM,Saturday,Not Work,weekend,2022-02-07
7:30 AM,Saturday,Not Work,weekend,2022-02-07
8:00 AM,Saturday,Not Work,weekend,2022-02-07
8:30 AM,Saturday,Not Work,weekend,2022-02-07
9:00 AM,Saturday,research,weekend,2022-02-07
9:30 AM,Saturday,logistics,weekend,2022-02-07
10:00 AM,Saturday,Not Work,weekend,2022-02-07
10:30 AM,Saturday,Not Work,weekend,2022-02-07
11:00 AM,Saturday,Not Work,weekend,2022-02-07
11:30 AM,Saturday,Not Work,weekend,2022-02-07
12:00 PM,Saturday,Not Work,weekend,2022-02-07
12:30 PM,Saturday,Not Work,weekend,2022-02-07
1:00 PM,Saturday,Not Work,weekend,2022-02-07
1:30 PM,Saturday,logistics,weekend,2022-02-07
2:00 PM,Saturday,research,weekend,2022-02-07
2:30 PM,Saturday,Not Work,weekend,2022-02-07
3:00 PM,Saturday,Not Work,weekend,2022-02-07
3:30 PM,Saturday,Not Work,weekend,2022-02-07
4:00 PM,Saturday,Not Work,weekend,2022-02-07
4:30 PM,Saturday,Not Work,weekend,2022-02-07
5:00 PM,Saturday,Not Work,weekend,2022-02-07
5:30 PM,Saturday,Not Work,weekend,2022-02-07
6:00 PM,Saturday,Not Work,weekend,2022-02-07
6:30 PM,Saturday,Not Work,weekend,2022-02-07
7:00 PM,Saturday,Not Work,weekend,2022-02-07
7:30 PM,Saturday,research,weekend,2022-02-07
8:00 PM,Saturday,research,weekend,2022-02-07
8:30 PM,Saturday,Not Work,weekend,2022-02-07
9:00 PM,Saturday,Not Work,weekend,2022-02-07
9:30 PM,Saturday,Not Work,weekend,2022-02-07
10:00 PM,Saturday,Not Work,weekend,2022-02-07
10:30 PM,Saturday,Not Work,weekend,2022-02-07
11:00 PM,Saturday,Not Work,weekend,2022-02-07
6:00 AM,Sunday,Not Work,weekend,2022-02-07
6:30 AM,Sunday,Not Work,weekend,2022-02-07
7:00 AM,Sunday,Not Work,weekend,2022-02-07
7:30 AM,Sunday,Not Work,weekend,2022-02-07
8:00 AM,Sunday,Not Work,weekend,2022-02-07
8:30 AM,Sunday,Not Work,weekend,2022-02-07
9:00 AM,Sunday,Not Work,weekend,2022-02-07
9:30 AM,Sunday,Not Work,weekend,2022-02-07
10:00 AM,Sunday,Not Work,weekend,2022-02-07
10:30 AM,Sunday,Not Work,weekend,2022-02-07
11:00 AM,Sunday,Not Work,weekend,2022-02-07
11:30 AM,Sunday,Not Work,weekend,2022-02-07
12:00 PM,Sunday,Not Work,weekend,2022-02-07
12:30 PM,Sunday,Not Work,weekend,2022-02-07
1:00 PM,Sunday,Not Work,weekend,2022-02-07
1:30 PM,Sunday,Not Work,weekend,2022-02-07
2:00 PM,Sunday,Not Work,weekend,2022-02-07
2:30 PM,Sunday,Not Work,weekend,2022-02-07
3:00 PM,Sunday,Not Work,weekend,2022-02-07
3:30 PM,Sunday,Not Work,weekend,2022-02-07
4:00 PM,Sunday,Not Work,weekend,2022-02-07
4:30 PM,Sunday,Not Work,weekend,2022-02-07
5:00 PM,Sunday,Not Work,weekend,2022-02-07
5:30 PM,Sunday,Not Work,weekend,2022-02-07
6:00 PM,Sunday,Not Work,weekend,2022-02-07
6:30 PM,Sunday,Not Work,weekend,2022-02-07
7:00 PM,Sunday,Not Work,weekend,2022-02-07
7:30 PM,Sunday,Not Work,weekend,2022-02-07
8:00 PM,Sunday,Not Work,weekend,2022-02-07
8:30 PM,Sunday,Not Work,weekend,2022-02-07
9:00 PM,Sunday,Not Work,weekend,2022-02-07
9:30 PM,Sunday,Not Work,weekend,2022-02-07
10:00 PM,Sunday,Not Work,weekend,2022-02-07
10:30 PM,Sunday,Not Work,weekend,2022-02-07
11:00 PM,Sunday,Not Work,weekend,2022-02-07
6:00 AM,Monday,Not Work,work,2022-02-14
6:30 AM,Monday,Not Work,work,2022-02-14
7:00 AM,Monday,Not Work,work,2022-02-14
7:30 AM,Monday,Not Work,work,2022-02-14
8:00 AM,Monday,Not Work,work,2022-02-14
8:30 AM,Monday,research,work,2022-02-14
9:00 AM,Monday,research,work,2022-02-14
9:30 AM,Monday,mentees,work,2022-02-14
10:00 AM,Monday,mentees,work,2022-02-14
10:30 AM,Monday,mentees,work,2022-02-14
11:00 AM,Monday,logistics,work,2022-02-14
11:30 AM,Monday,logistics,work,2022-02-14
12:00 PM,Monday,talking,work,2022-02-14
12:30 PM,Monday,talking,work,2022-02-14
1:00 PM,Monday,logistics,work,2022-02-14
1:30 PM,Monday,mentees,work,2022-02-14
2:00 PM,Monday,mentees,work,2022-02-14
2:30 PM,Monday,mentees,work,2022-02-14
3:00 PM,Monday,logistics,work,2022-02-14
3:30 PM,Monday,logistics,work,2022-02-14
4:00 PM,Monday,Not Work,work,2022-02-14
4:30 PM,Monday,Not Work,work,2022-02-14
5:00 PM,Monday,Not Work,work,2022-02-14
5:30 PM,Monday,Not Work,work,2022-02-14
6:00 PM,Monday,Not Work,work,2022-02-14
6:30 PM,Monday,Not Work,work,2022-02-14
7:00 PM,Monday,Not Work,work,2022-02-14
7:30 PM,Monday,Not Work,work,2022-02-14
8:00 PM,Monday,Not Work,work,2022-02-14
8:30 PM,Monday,Not Work,work,2022-02-14
9:00 PM,Monday,Not Work,work,2022-02-14
9:30 PM,Monday,Not Work,work,2022-02-14
10:00 PM,Monday,Not Work,work,2022-02-14
10:30 PM,Monday,Not Work,work,2022-02-14
11:00 PM,Monday,Not Work,work,2022-02-14
6:00 AM,Tuesday,Not Work,work,2022-02-14
6:30 AM,Tuesday,Not Work,work,2022-02-14
7:00 AM,Tuesday,Not Work,work,2022-02-14
7:30 AM,Tuesday,Not Work,work,2022-02-14
8:00 AM,Tuesday,Not Work,work,2022-02-14
8:30 AM,Tuesday,research,work,2022-02-14
9:00 AM,Tuesday,research,work,2022-02-14
9:30 AM,Tuesday,mentees,work,2022-02-14
10:00 AM,Tuesday,logistics,work,2022-02-14
10:30 AM,Tuesday,talking,work,2022-02-14
11:00 AM,Tuesday,mentees,work,2022-02-14
11:30 AM,Tuesday,mentees,work,2022-02-14
12:00 PM,Tuesday,research,work,2022-02-14
12:30 PM,Tuesday,logistics,work,2022-02-14
1:00 PM,Tuesday,logistics,work,2022-02-14
1:30 PM,Tuesday,logistics,work,2022-02-14
2:00 PM,Tuesday,talking,work,2022-02-14
2:30 PM,Tuesday,talking,work,2022-02-14
3:00 PM,Tuesday,talking,work,2022-02-14
3:30 PM,Tuesday,talking,work,2022-02-14
4:00 PM,Tuesday,logistics,work,2022-02-14
4:30 PM,Tuesday,logistics,work,2022-02-14
5:00 PM,Tuesday,Not Work,work,2022-02-14
5:30 PM,Tuesday,Not Work,work,2022-02-14
6:00 PM,Tuesday,Not Work,work,2022-02-14
6:30 PM,Tuesday,Not Work,work,2022-02-14
7:00 PM,Tuesday,Not Work,work,2022-02-14
7:30 PM,Tuesday,logistics,work,2022-02-14
8:00 PM,Tuesday,logistics,work,2022-02-14
8:30 PM,Tuesday,logistics,work,2022-02-14
9:00 PM,Tuesday,research,work,2022-02-14
9:30 PM,Tuesday,Not Work,work,2022-02-14
10:00 PM,Tuesday,Not Work,work,2022-02-14
10:30 PM,Tuesday,Not Work,work,2022-02-14
11:00 PM,Tuesday,Not Work,work,2022-02-14
6:00 AM,Wednesday,Not Work,work,2022-02-14
6:30 AM,Wednesday,Not Work,work,2022-02-14
7:00 AM,Wednesday,Not Work,work,2022-02-14
7:30 AM,Wednesday,Not Work,work,2022-02-14
8:00 AM,Wednesday,research,work,2022-02-14
8:30 AM,Wednesday,research,work,2022-02-14
9:00 AM,Wednesday,research,work,2022-02-14
9:30 AM,Wednesday,research,work,2022-02-14
10:00 AM,Wednesday,logistics,work,2022-02-14
10:30 AM,Wednesday,Not Work,work,2022-02-14
11:00 AM,Wednesday,logistics,work,2022-02-14
11:30 AM,Wednesday,research,work,2022-02-14
12:00 PM,Wednesday,logistics,work,2022-02-14
12:30 PM,Wednesday,talking,work,2022-02-14
1:00 PM,Wednesday,Not Work,work,2022-02-14
1:30 PM,Wednesday,Not Work,work,2022-02-14
2:00 PM,Wednesday,logistics,work,2022-02-14
2:30 PM,Wednesday,talking,work,2022-02-14
3:00 PM,Wednesday,talking,work,2022-02-14
3:30 PM,Wednesday,logistics,work,2022-02-14
4:00 PM,Wednesday,Not Work,work,2022-02-14
4:30 PM,Wednesday,Not Work,work,2022-02-14
5:00 PM,Wednesday,Not Work,work,2022-02-14
5:30 PM,Wednesday,Not Work,work,2022-02-14
6:00 PM,Wednesday,Not Work,work,2022-02-14
6:30 PM,Wednesday,Not Work,work,2022-02-14
7:00 PM,Wednesday,Not Work,work,2022-02-14
7:30 PM,Wednesday,logistics,work,2022-02-14
8:00 PM,Wednesday,logistics,work,2022-02-14
8:30 PM,Wednesday,Not Work,work,2022-02-14
9:00 PM,Wednesday,Not Work,work,2022-02-14
9:30 PM,Wednesday,Not Work,work,2022-02-14
10:00 PM,Wednesday,Not Work,work,2022-02-14
10:30 PM,Wednesday,Not Work,work,2022-02-14
11:00 PM,Wednesday,Not Work,work,2022-02-14
6:00 AM,Thursday,Not Work,work,2022-02-14
6:30 AM,Thursday,Not Work,work,2022-02-14
7:00 AM,Thursday,Not Work,work,2022-02-14
7:30 AM,Thursday,Not Work,work,2022-02-14
8:00 AM,Thursday,logistics,work,2022-02-14
8:30 AM,Thursday,logistics,work,2022-02-14
9:00 AM,Thursday,logistics,work,2022-02-14
9:30 AM,Thursday,mentees,work,2022-02-14
10:00 AM,Thursday,mentees,work,2022-02-14
10:30 AM,Thursday,logistics,work,2022-02-14
11:00 AM,Thursday,talking,work,2022-02-14
11:30 AM,Thursday,talking,work,2022-02-14
12:00 PM,Thursday,Not Work,work,2022-02-14
12:30 PM,Thursday,Not Work,work,2022-02-14
1:00 PM,Thursday,talking,work,2022-02-14
1:30 PM,Thursday,talking,work,2022-02-14
2:00 PM,Thursday,logistics,work,2022-02-14
2:30 PM,Thursday,logistics,work,2022-02-14
3:00 PM,Thursday,logistics,work,2022-02-14
3:30 PM,Thursday,logistics,work,2022-02-14
4:00 PM,Thursday,logistics,work,2022-02-14
4:30 PM,Thursday,Not Work,work,2022-02-14
5:00 PM,Thursday,Not Work,work,2022-02-14
5:30 PM,Thursday,Not Work,work,2022-02-14
6:00 PM,Thursday,Not Work,work,2022-02-14
6:30 PM,Thursday,Not Work,work,2022-02-14
7:00 PM,Thursday,Not Work,work,2022-02-14
7:30 PM,Thursday,Not Work,work,2022-02-14
8:00 PM,Thursday,logistics,work,2022-02-14
8:30 PM,Thursday,Not Work,work,2022-02-14
9:00 PM,Thursday,Not Work,work,2022-02-14
9:30 PM,Thursday,Not Work,work,2022-02-14
10:00 PM,Thursday,Not Work,work,2022-02-14
10:30 PM,Thursday,Not Work,work,2022-02-14
11:00 PM,Thursday,Not Work,work,2022-02-14
6:00 AM,Friday,Not Work,work,2022-02-14
6:30 AM,Friday,Not Work,work,2022-02-14
7:00 AM,Friday,Not Work,work,2022-02-14
7:30 AM,Friday,Not Work,work,2022-02-14
8:00 AM,Friday,research,work,2022-02-14
8:30 AM,Friday,research,work,2022-02-14
9:00 AM,Friday,logistics,work,2022-02-14
9:30 AM,Friday,logistics,work,2022-02-14
10:00 AM,Friday,talking,work,2022-02-14
10:30 AM,Friday,talking,work,2022-02-14
11:00 AM,Friday,mentees,work,2022-02-14
11:30 AM,Friday,logistics,work,2022-02-14
12:00 PM,Friday,Not Work,work,2022-02-14
12:30 PM,Friday,talking,work,2022-02-14
1:00 PM,Friday,talking,work,2022-02-14
1:30 PM,Friday,Not Work,work,2022-02-14
2:00 PM,Friday,Not Work,work,2022-02-14
2:30 PM,Friday,Not Work,work,2022-02-14
3:00 PM,Friday,Not Work,work,2022-02-14
3:30 PM,Friday,logistics,work,2022-02-14
4:00 PM,Friday,research,work,2022-02-14
4:30 PM,Friday,Not Work,work,2022-02-14
5:00 PM,Friday,Not Work,work,2022-02-14
5:30 PM,Friday,Not Work,work,2022-02-14
6:00 PM,Friday,Not Work,work,2022-02-14
6:30 PM,Friday,Not Work,work,2022-02-14
7:00 PM,Friday,Not Work,work,2022-02-14
7:30 PM,Friday,logistics,work,2022-02-14
8:00 PM,Friday,Not Work,work,2022-02-14
8:30 PM,Friday,Not Work,work,2022-02-14
9:00 PM,Friday,Not Work,work,2022-02-14
9:30 PM,Friday,Not Work,work,2022-02-14
10:00 PM,Friday,Not Work,work,2022-02-14
10:30 PM,Friday,Not Work,work,2022-02-14
11:00 PM,Friday,Not Work,work,2022-02-14
6:00 AM,Saturday,Not Work,weekend,2022-02-14
6:30 AM,Saturday,Not Work,weekend,2022-02-14
7:00 AM,Saturday,Not Work,weekend,2022-02-14
7:30 AM,Saturday,Not Work,weekend,2022-02-14
8:00 AM,Saturday,Not Work,weekend,2022-02-14
8:30 AM,Saturday,Not Work,weekend,2022-02-14
9:00 AM,Saturday,Not Work,weekend,2022-02-14
9:30 AM,Saturday,Not Work,weekend,2022-02-14
10:00 AM,Saturday,Not Work,weekend,2022-02-14
10:30 AM,Saturday,Not Work,weekend,2022-02-14
11:00 AM,Saturday,Not Work,weekend,2022-02-14
11:30 AM,Saturday,Not Work,weekend,2022-02-14
12:00 PM,Saturday,Not Work,weekend,2022-02-14
12:30 PM,Saturday,Not Work,weekend,2022-02-14
1:00 PM,Saturday,Not Work,weekend,2022-02-14
1:30 PM,Saturday,Not Work,weekend,2022-02-14
2:00 PM,Saturday,Not Work,weekend,2022-02-14
2:30 PM,Saturday,Not Work,weekend,2022-02-14
3:00 PM,Saturday,Not Work,weekend,2022-02-14
3:30 PM,Saturday,Not Work,weekend,2022-02-14
4:00 PM,Saturday,Not Work,weekend,2022-02-14
4:30 PM,Saturday,Not Work,weekend,2022-02-14
5:00 PM,Saturday,Not Work,weekend,2022-02-14
5:30 PM,Saturday,Not Work,weekend,2022-02-14
6:00 PM,Saturday,Not Work,weekend,2022-02-14
6:30 PM,Saturday,Not Work,weekend,2022-02-14
7:00 PM,Saturday,Not Work,weekend,2022-02-14
7:30 PM,Saturday,Not Work,weekend,2022-02-14
8:00 PM,Saturday,Not Work,weekend,2022-02-14
8:30 PM,Saturday,Not Work,weekend,2022-02-14
9:00 PM,Saturday,Not Work,weekend,2022-02-14
9:30 PM,Saturday,Not Work,weekend,2022-02-14
10:00 PM,Saturday,Not Work,weekend,2022-02-14
10:30 PM,Saturday,Not Work,weekend,2022-02-14
11:00 PM,Saturday,Not Work,weekend,2022-02-14
6:00 AM,Sunday,Not Work,weekend,2022-02-14
6:30 AM,Sunday,Not Work,weekend,2022-02-14
7:00 AM,Sunday,Not Work,weekend,2022-02-14
7:30 AM,Sunday,Not Work,weekend,2022-02-14
8:00 AM,Sunday,Not Work,weekend,2022-02-14
8:30 AM,Sunday,Not Work,weekend,2022-02-14
9:00 AM,Sunday,Not Work,weekend,2022-02-14
9:30 AM,Sunday,Not Work,weekend,2022-02-14
10:00 AM,Sunday,Not Work,weekend,2022-02-14
10:30 AM,Sunday,Not Work,weekend,2022-02-14
11:00 AM,Sunday,Not Work,weekend,2022-02-14
11:30 AM,Sunday,Not Work,weekend,2022-02-14
12:00 PM,Sunday,Not Work,weekend,2022-02-14
12:30 PM,Sunday,Not Work,weekend,2022-02-14
1:00 PM,Sunday,Not Work,weekend,2022-02-14
1:30 PM,Sunday,logistics,weekend,2022-02-14
2:00 PM,Sunday,logistics,weekend,2022-02-14
2:30 PM,Sunday,Not Work,weekend,2022-02-14
3:00 PM,Sunday,Not Work,weekend,2022-02-14
3:30 PM,Sunday,Not Work,weekend,2022-02-14
4:00 PM,Sunday,Not Work,weekend,2022-02-14
4:30 PM,Sunday,Not Work,weekend,2022-02-14
5:00 PM,Sunday,Not Work,weekend,2022-02-14
5:30 PM,Sunday,Not Work,weekend,2022-02-14
6:00 PM,Sunday,Not Work,weekend,2022-02-14
6:30 PM,Sunday,Not Work,weekend,2022-02-14
7:00 PM,Sunday,Not Work,weekend,2022-02-14
7:30 PM,Sunday,logistics,weekend,2022-02-14
8:00 PM,Sunday,logistics,weekend,2022-02-14
8:30 PM,Sunday,logistics,weekend,2022-02-14
9:00 PM,Sunday,logistics,weekend,2022-02-14
9:30 PM,Sunday,Not Work,weekend,2022-02-14
10:00 PM,Sunday,Not Work,weekend,2022-02-14
10:30 PM,Sunday,Not Work,weekend,2022-02-14
11:00 PM,Sunday,Not Work,weekend,2022-02-14
6:00 AM,Monday,Not Work,work,2022-02-21
6:30 AM,Monday,Not Work,work,2022-02-21
7:00 AM,Monday,Not Work,work,2022-02-21
7:30 AM,Monday,Not Work,work,2022-02-21
8:00 AM,Monday,Not Work,work,2022-02-21
8:30 AM,Monday,research,work,2022-02-21
